2022-05-10 17-47-11	The case 'test_setting':  Start
2022-05-10 17-47-14	The case 'test_setting':  Pass.............................................
2022-05-10 17-47-14	The case 'test_setting':  End
2022-05-10 17-47-14	The case 'test_cloud_intergration':  Start
2022-05-10 17-47-17	The case 'test_cloud_intergration':  Pass.............................................
2022-05-10 17-47-17	The case 'test_cloud_intergration':  End
2022-05-10 17-47-17	The case 'test_about':  Start
2022-05-10 17-47-20	The case 'test_about':  Pass.............................................
2022-05-10 17-47-20	The case 'test_about':  End
2022-05-10 17-47-20	The case 'test_new_file':  Start
2022-05-10 17-47-25	The case 'test_new_file':  Pass.............................................
2022-05-10 17-47-25	The case 'test_new_file':  End
2022-05-10 17-47-25	The case 'test_open_file':  Start
